id,class_a,class_b,class_c,class_d,class_e,class_f
1,Security,Security,Security,,,
2,Technology,Earth-File,Entertainment,,,
3,Entertainment,Earth-File,Security,,,
4,Entertainment,Earth-File,Relationship,,,
5,Security,Earth-File,Technology,,,
6,Entertainment,Relationship,,,,
7,Entertainment,,,,,
8,Entertainment,,,,,
9,Entertainment,Technology,Security,,,
10,Entertainment,,,,,
11,Earth-File,Entertainment,Security,,,
13,Security,Security,Security,,,
14,Entertainment,Entertainment,Relationship,,,
15,Entertainment,,,,,
17,Security,Earth-File,Entertainment,Technology,Security,
18,Security,Entertainment,,,,
19,Entertainment,Entertainment,Technology,,,
20,Security,Earth-File,Entertainment,,,
21,Entertainment,,,,,
22,Security,Entertainment,,,,
23,Security,Entertainment,Security,,,
24,Entertainment,Entertainment,,,,
25,Entertainment,Entertainment,Relationship,,,
27,Earth-File,Security,,,,
28,Technology,Earth-File,Entertainment,Earth-File,Technology,
29,Security,Entertainment,Earth-File,Security,,
30,Security,Security,Entertainment,,,
31,Security,Entertainment,,,,
32,Entertainment,Entertainment,Technology,,,
33,Technology,Security,Entertainment,,,
34,Entertainment,,,,,
35,Security,,,,,
36,Security,Security,Entertainment,,,
37,Security,Earth-File,Technology,Security,,
39,Entertainment,Entertainment,,,,
40,Entertainment,Earth-File,Entertainment,Relationship,,
41,Relationship,Technology,Security,,,
42,Earth-File,Entertainment,Relationship,Technology,,
43,Entertainment,,,,,
44,Entertainment,,,,,
45,Entertainment,Entertainment,Security,,,
46,Entertainment,Earth-File,,,,
47,Security,Earth-File,Entertainment,Security,,
48,Entertainment,Relationship,,,,
50,Technology,Relationship,Entertainment,Earth-File,Entertainment,
51,Entertainment,,,,,
52,Security,Entertainment,Technology,Security,,
53,Security,Entertainment,Entertainment,Technology,Security,
54,Security,Entertainment,Technology,,,
55,Security,Entertainment,Technology,Security,,
57,Security,Entertainment,Technology,Security,,
58,Entertainment,,,,,
59,Entertainment,,,,,
60,Entertainment,,,,,
61,Entertainment,Security,,,,
62,Entertainment,Entertainment,Relationship,,,
63,Security,Entertainment,Security,,,
64,Entertainment,,,,,
65,Entertainment,,,,,
66,Entertainment,,,,,
67,Security,Entertainment,,,,
68,Entertainment,Entertainment,,,,
69,Security,Entertainment,Security,,,
70,Security,Entertainment,,,,
71,Entertainment,,,,,
72,Entertainment,,,,,
73,Security,Entertainment,Earth-File,,,
74,Entertainment,,,,,
75,Entertainment,Entertainment,Relationship,,,
76,Entertainment,Entertainment,Security,,,
78,Security,Entertainment,,,,
79,Entertainment,Entertainment,,,,
80,Entertainment,Entertainment,Relationship,,,
81,Security,Entertainment,Security,,,
82,Entertainment,,,,,
83,Entertainment,Relationship,,,,
84,Entertainment,,,,,
85,Entertainment,Security,,,,
86,Entertainment,Security,,,,
87,Relationship,Technology,Entertainment,,,
88,Entertainment,Relationship,,,,
90,Entertainment,,,,,
91,Entertainment,Relationship,,,,
92,Entertainment,,,,,
93,Entertainment,Security,,,,
94,Security,Security,Entertainment,,,
95,Earth-File,Technology,Entertainment,Earth-File,,
96,Entertainment,,,,,
97,Security,Entertainment,Security,,,
99,Entertainment,Entertainment,Earth-File,,,
100,Entertainment,Security,,,,
101,Entertainment,Security,,,,
102,Technology,,,,,
103,Security,Security,,,,
104,Entertainment,Security,,,,
105,Security,Technology,Security,,,
106,Earth-File,Earth-File,Security,Entertainment,Entertainment,
107,Entertainment,Security,,,,
108,Entertainment,,,,,
109,Relationship,Entertainment,Entertainment,,,
110,Entertainment,Entertainment,Relationship,,,
111,Security,Security,,,,
112,Security,,,,,
113,Entertainment,,,,,
115,Security,Entertainment,,,,
116,Security,Entertainment,,,,
117,Entertainment,,,,,
118,Relationship,Entertainment,,,,
119,Security,Earth-File,Technology,,,
120,Security,Earth-File,,,,
121,Security,Earth-File,Technology,,,
122,Entertainment,Earth-File,Security,,,
123,Entertainment,,,,,
124,Entertainment,Security,,,,
125,Entertainment,,,,,
126,Entertainment,,,,,
129,Entertainment,Relationship,,,,
130,Security,Entertainment,Earth-File,Security,,
131,Security,Entertainment,,,,
132,Security,Security,Entertainment,,,
133,Entertainment,Security,Earth-File,,,
134,Entertainment,Security,,,,
135,Security,Entertainment,,,,
136,Entertainment,Security,,,,
137,Entertainment,,,,,
138,Security,Security,Entertainment,,,
139,Entertainment,Entertainment,,,,
140,Entertainment,Relationship,Security,,,
141,Entertainment,Entertainment,Security,,,
142,Entertainment,Earth-File,Security,,,
143,Security,Earth-File,Security,,,
144,Entertainment,,,,,
145,Security,Security,Earth-File,Security,,
146,Security,Security,Earth-File,Security,,
147,Entertainment,Security,,,,
148,Entertainment,Relationship,Entertainment,,,
150,Entertainment,Earth-File,Security,,,
151,Entertainment,,,,,
152,Entertainment,Security,,,,
153,Entertainment,Earth-File,,,,
154,Relationship,Earth-File,Entertainment,,,
155,Technology,Entertainment,,,,
156,Entertainment,Entertainment,Relationship,,,
157,Entertainment,Entertainment,Earth-File,,,
158,Entertainment,Earth-File,,,,
159,Entertainment,Entertainment,,,,
160,Entertainment,,,,,
161,Entertainment,Relationship,,,,
162,Entertainment,,,,,
164,Entertainment,Entertainment,,,,
165,Entertainment,Relationship,Earth-File,,,
166,Entertainment,Relationship,,,,
167,Security,Entertainment,,,,
168,Entertainment,Earth-File,Entertainment,Earth-File,,
169,Entertainment,Earth-File,Security,,,
170,Entertainment,Entertainment,Relationship,,,
171,Entertainment,Security,Entertainment,,,
172,Entertainment,Entertainment,Relationship,,,
173,Entertainment,Entertainment,Security,Relationship,,
174,Entertainment,Entertainment,Relationship,Security,,
175,Security,Entertainment,Earth-File,Security,,
176,Security,Earth-File,Technology,,,
177,Security,Security,Entertainment,,,
178,Entertainment,,,,,
179,Entertainment,Earth-File,Security,,,
180,Security,Entertainment,,,,
181,Security,Entertainment,Technology,,,
182,Security,Entertainment,Security,,,
183,Security,Entertainment,Technology,,,
185,Entertainment,Entertainment,Relationship,,,
186,Entertainment,,,,,
187,Security,Entertainment,,,,
188,Security,Security,Entertainment,,,
189,Entertainment,Security,,,,
190,Security,Entertainment,,,,
191,Entertainment,Relationship,,,,
192,Security,Entertainment,Earth-File,Security,,
195,Security,Security,,,,
196,Relationship,Security,,,,
197,Entertainment,Relationship,Security,,,
198,Entertainment,,,,,
199,Entertainment,Entertainment,,,,
200,Security,Entertainment,Relationship,,,
201,Entertainment,,,,,
202,Security,Earth-File,Entertainment,Technology,Security,Earth-File
204,Security,Entertainment,Security,,,
205,Entertainment,Security,,,,
206,Security,Entertainment,Security,,,
207,Security,Entertainment,Security,Relationship,,
208,Security,Security,Earth-File,Entertainment,Earth-File,
209,Earth-File,Earth-File,Security,Security,Entertainment,
210,Security,Earth-File,Earth-File,Security,,
211,Entertainment,Earth-File,Technology,,,
