id,class_a,class_b,class_c,class_d,class_e,class_f
1,Action,Crime,Action,,,
2,Animation,Adventure,Comedy,,,
3,Horror,Mystery,Action,,,
4,Comedy,Fantasy,Romance,,,
5,Action,Adventure,Sci-Fi,,,
6,Comedy,Romance,,,,
7,Comedy,,,,,
8,Drama,,,,,
9,Drama,Sci-Fi,Action,,,
10,Drama,,,,,
11,Adventure,Drama,Action,,,
13,Action,Crime,Action,,,
14,Comedy,Drama,Romance,,,
15,Drama,,,,,
17,Action,Adventure,Drama,Sci-Fi,Action,
18,Crime,Drama,,,,
19,Drama,Horror,Sci-Fi,,,
20,Action,Adventure,Comedy,,,
21,Drama,,,,,
22,Crime,Drama,,,,
23,Action,Comedy,Action,,,
24,Comedy,Drama,,,,
25,Comedy,Drama,Romance,,,
27,Mystery,Action,,,,
28,Animation,Adventure,Drama,Fantasy,Sci-Fi,
29,Crime,Drama,Mystery,Action,,
30,Action,Crime,Drama,,,
31,Crime,Drama,,,,
32,Drama,Horror,Sci-Fi,,,
33,Animation,Crime,Drama,,,
34,Comedy,,,,,
35,Action,,,,,
36,Action,Crime,Drama,,,
37,Action,Adventure,Sci-Fi,Action,,
39,Comedy,Drama,,,,
40,Comedy,Fantasy,Horror,Family,,
41,Romance,Sci-Fi,Action,,,
42,Adventure,Comedy,Romance,Sci-Fi,,
43,Drama,,,,,
44,Comedy,,,,,
45,Drama,Horror,Action,,,
46,Drama,Mystery,,,,
47,Action,Adventure,Drama,Action,,
48,Comedy,Romance,,,,
50,Animation,Family,Musical,Fantasy,Comedy,
51,Drama,,,,,
52,Action,Horror,Sci-Fi,Action,,
53,Action,Drama,Horror,Sci-Fi,Action,
54,Crime,Drama,Sci-Fi,,,
55,Action,Horror,Sci-Fi,Action,,
57,Action,Horror,Sci-Fi,Action,,
58,Drama,,,,,
59,Comedy,,,,,
60,Drama,,,,,
61,Drama,Action,,,,
62,Comedy,Drama,Romance,,,
63,Action,Horror,Action,,,
64,Drama,,,,,
65,Drama,,,,,
66,Drama,,,,,
67,Crime,Drama,,,,
68,Comedy,Drama,,,,
69,Crime,Drama,Action,,,
70,Crime,Drama,,,,
71,Drama,,,,,
72,Comedy,,,,,
73,Action,Comedy,Western,,,
74,Comedy,,,,,
75,Comedy,Drama,Romance,,,
76,Drama,Horror,Action,,,
78,Action,Drama,,,,
79,Comedy,Drama,,,,
80,Comedy,Horror,Romance,,,
81,Crime,Drama,Action,,,
82,Horror,,,,,
83,Drama,Romance,,,,
84,Drama,,,,,
85,Comedy,Crime,,,,
86,Comedy,Crime,,,,
87,Family,Animation,Musical,,,
88,Drama,Romance,,,,
90,Drama,,,,,
91,Comedy,Romance,,,,
92,Drama,,,,,
93,Drama,Action,,,,
94,Action,Crime,Drama,,,
95,Adventure,Animation,Comedy,Fantasy,,
96,Comedy,,,,,
97,Action,Drama,War,,,
99,Comedy,Horror,Mystery,,,
100,Drama,Action,,,,
101,Drama,Action,,,,
102,Sci-Fi,,,,,
103,Action,Action,,,,
104,Drama,Action,,,,
105,Action,Sci-Fi,Action,,,
106,Adventure,Fantasy,Action,Comedy,Horror,
107,Comedy,Crime,,,,
108,Comedy,,,,,
109,Romance,Comedy,Drama,,,
110,Comedy,Drama,Romance,,,
111,Action,Action,,,,
112,Action,,,,,
113,Drama,,,,,
115,Action,Comedy,,,,
116,Action,Comedy,,,,
117,Comedy,,,,,
118,Romance,Drama,,,,
119,Action,Adventure,Sci-Fi,,,
120,Action,Adventure,,,,
121,Action,Adventure,Sci-Fi,,,
122,Drama,Mystery,Action,,,
123,Drama,,,,,
124,Drama,Action,,,,
125,Comedy,,,,,
126,Drama,,,,,
129,Comedy,Romance,,,,
130,Action,Drama,Mystery,Action,,
131,Action,Comedy,,,,
132,Action,Crime,Drama,,,
133,Drama,Action,Western,,,
134,Horror,Action,,,,
135,Crime,Drama,,,,
136,Comedy,Crime,,,,
137,Comedy,,,,,
138,Crime,Action,Drama,,,
139,Comedy,Drama,,,,
140,Drama,Romance,War,,,
141,Comedy,Drama,Action,,,
142,Drama,Mystery,Action,,,
143,Crime,Mystery,Action,,,
144,Drama,,,,,
145,Action,Crime,Fantasy,Action,,
146,Action,Crime,Fantasy,Action,,
147,Drama,War,,,,
148,Drama,Romance,Comedy,,,
150,Drama,Adventure,Action,,,
151,Comedy,,,,,
152,Drama,War,,,,
153,Drama,Fantasy,,,,
154,Family,Fantasy,Musical,,,
155,Animation,Comedy,,,,
156,Comedy,Drama,Romance,,,
157,Comedy,Drama,Fantasy,,,
158,Comedy,Fantasy,,,,
159,Comedy,Drama,,,,
160,Drama,,,,,
161,Drama,Romance,,,,
162,Drama,,,,,
164,Comedy,Drama,,,,
165,Comedy,Family,Fantasy,,,
166,Drama,Romance,,,,
167,Crime,Drama,,,,
168,Drama,Fantasy,Comedy,Adventure,,
169,Comedy,Mystery,Action,,,
170,Comedy,Drama,Romance,,,
171,Comedy,Crime,Drama,,,
172,Comedy,Drama,Romance,,,
173,Drama,Horror,Action,Romance,,
174,Comedy,Drama,Romance,Crime,,
175,Crime,Drama,Mystery,Action,,
176,Action,Adventure,Sci-Fi,,,
177,Action,Crime,Drama,,,
178,Drama,,,,,
179,Drama,Mystery,Action,,,
180,Crime,Drama,,,,
181,Action,Horror,Sci-Fi,,,
182,Action,Horror,Action,,,
183,Action,Drama,Sci-Fi,,,
185,Comedy,Drama,Romance,,,
186,Drama,,,,,
187,Crime,Drama,,,,
188,Action,Crime,Drama,,,
189,Drama,Action,,,,
190,Crime,Drama,,,,
191,Drama,Romance,,,,
192,Crime,Drama,Mystery,Action,,
195,Crime,Action,,,,
196,Romance,Action,,,,
197,Drama,Romance,Action,,,
198,Horror,,,,,
199,Comedy,Drama,,,,
200,Crime,Drama,Romance,,,
201,Drama,,,,,
202,Action,Adventure,Drama,Sci-Fi,Action,Western
204,Crime,Drama,Action,,,
205,Comedy,Crime,,,,
206,Crime,Drama,Action,,,
207,Action,Comedy,Crime,Romance,,
208,Action,Action,Mystery,Drama,Adventure,
209,Adventure,Mystery,Action,Action,Drama,
210,Action,Adventure,Mystery,Action,,
211,Drama,Mystery,Sci-Fi,,,
212,Animation,Adventure,Comedy,,,
213,Drama,,,,,
214,Drama,War,Action,,,
215,Comedy,Fantasy,Sci-Fi,,,
216,Drama,,,,,
217,Action,Action,,,,
218,Comedy,Drama,,,,
219,Comedy,Drama,,,,
220,Drama,Mystery,,,,
221,Comedy,,,,,
222,Drama,,,,,
223,Comedy,Drama,Romance,,,
224,Action,Adventure,Action,,,
225,Drama,Romance,Action,,,
226,Adventure,Comedy,Crime,Drama,Romance,
227,Comedy,Fantasy,Romance,,,
228,Action,Comedy,Horror,,,
229,Comedy,Drama,Romance,,,
230,Drama,Mystery,Action,,,
231,Drama,Musical,Romance,,,
232,Comedy,Crime,,,,
233,Comedy,Drama,Romance,,,
234,Drama,Action,Fantasy,,,
235,Comedy,Drama,Action,,,
236,Drama,,,,,
237,Crime,Drama,,,,
238,Horror,Action,,,,
239,Animation,Action,Adventure,,,
240,Horror,Mystery,Action,,,
241,Crime,,,,,
242,Adventure,Drama,,,,
243,Crime,Drama,,,,
244,Action,Crime,,,,
245,Comedy,Crime,Action,,,
246,Comedy,,,,,
248,Horror,Sci-Fi,Action,,,
249,Action,Crime,Drama,Mystery,Action,
250,Comedy,,,,,
251,Crime,Drama,Mystery,,,
252,Action,Crime,Drama,Action,,
253,Comedy,Mystery,Romance,Action,,
254,Action,Comedy,,,,
255,Comedy,Romance,,,,
256,Horror,Action,,,,
257,Horror,Action,Comedy,Mystery,,
258,Crime,Mystery,Action,,,
259,Comedy,Fantasy,,,,
260,Drama,Sci-Fi,Action,,,
262,Drama,Romance,,,,
263,Drama,,,,,
264,Drama,Romance,,,,
266,Drama,Mystery,,,,
267,Drama,,,,,
268,Action,Adventure,Drama,Fantasy,,
269,Comedy,Drama,,,,
270,Action,Adventure,Action,,,
272,Comedy,Romance,,,,
273,Drama,,,,,
274,Animation,Adventure,Comedy,,,
275,Action,Drama,,,,
276,Drama,War,Romance,,,
277,Action,Crime,Action,,,
278,Action,Action,,,,
279,Action,Crime,Drama,,,
280,Mystery,Romance,Action,,,
283,Crime,Drama,,,,
284,Crime,Drama,,,,
285,Action,Action,Fantasy,Drama,Horror,
286,Drama,Romance,Comedy,,,
287,Crime,Horror,Mystery,Action,,
288,Animation,Adventure,Family,Fantasy,,
289,Drama,Action,War,,,
293,Action,Crime,Drama,Action,,
